epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,568.059,0.98025,0.61754,0.91952,0.95207,0.91709,0.94984,0.5222,1.43106,0.62627,1.06503,0.0005941,0.0005941,0.0005941
43,581.659,0.95656,0.59717,0.91545,0.97144,0.94175,0.98257,0.74511,0.87886,0.48427,0.92454,0.0005842,0.0005842,0.0005842
44,594.622,0.9913,0.60934,0.92617,0.97288,0.92419,0.97537,0.66382,1.10389,0.54562,0.9754,0.0005743,0.0005743,0.0005743
45,607.695,0.99998,0.60694,0.92353,0.94812,0.95536,0.97903,0.72865,0.89982,0.50748,0.9223,0.0005644,0.0005644,0.0005644
46,620.96,0.97958,0.58967,0.92259,0.95981,0.93694,0.97106,0.56499,1.32219,0.57954,1.02865,0.0005545,0.0005545,0.0005545
47,633.848,0.94271,0.58941,0.91569,0.95209,0.94477,0.97662,0.74395,0.87626,0.48206,0.92118,0.0005446,0.0005446,0.0005446
48,646.839,0.93687,0.5818,0.91053,0.96597,0.94128,0.96921,0.56634,1.40551,0.60275,1.05979,0.0005347,0.0005347,0.0005347
49,659.791,0.95211,0.58896,0.91246,0.95838,0.93539,0.97027,0.53411,1.54549,0.62017,1.09334,0.0005248,0.0005248,0.0005248
50,672.619,0.94861,0.5709,0.91533,0.95754,0.93874,0.96929,0.58617,1.29736,0.55751,1.01874,0.0005149,0.0005149,0.0005149
51,687.386,0.93343,0.56029,0.90824,0.95504,0.95287,0.98047,0.67117,1.07593,0.50611,0.96223,0.000505,0.000505,0.000505
52,703.512,0.9413,0.56334,0.91271,0.95293,0.93802,0.97101,0.48147,1.69891,0.64614,1.1448,0.0004951,0.0004951,0.0004951
53,716.212,0.93253,0.55527,0.91422,0.95366,0.96819,0.98479,0.75788,0.82649,0.45827,0.90835,0.0004852,0.0004852,0.0004852
54,728.972,0.91387,0.55081,0.89734,0.96695,0.94711,0.97491,0.69347,1.00317,0.50022,0.94369,0.0004753,0.0004753,0.0004753
55,741.736,0.91258,0.55556,0.90819,0.95735,0.93825,0.97679,0.62852,1.23113,0.54231,0.99677,0.0004654,0.0004654,0.0004654
56,754.439,0.92007,0.556,0.90656,0.96777,0.95473,0.98531,0.74292,0.87728,0.45504,0.91087,0.0004555,0.0004555,0.0004555
57,767.259,0.89808,0.53725,0.90525,0.9584,0.9511,0.98116,0.6738,1.05162,0.49311,0.9582,0.0004456,0.0004456,0.0004456
58,779.995,0.92668,0.5422,0.90418,0.97047,0.94195,0.97672,0.62609,1.2225,0.53915,0.99698,0.0004357,0.0004357,0.0004357
59,792.845,0.92227,0.54253,0.90626,0.97158,0.93027,0.9726,0.53295,1.53719,0.5987,1.0922,0.0004258,0.0004258,0.0004258
60,806.217,0.9089,0.53497,0.90274,0.9495,0.95779,0.97773,0.69613,1.0142,0.48721,0.94243,0.0004159,0.0004159,0.0004159
61,819.016,0.91153,0.53292,0.90592,0.96593,0.94121,0.97551,0.65506,1.11462,0.513,0.96537,0.000406,0.000406,0.000406
62,831.715,0.91908,0.53545,0.90534,0.97071,0.9527,0.97868,0.69659,1.02776,0.47505,0.95409,0.0003961,0.0003961,0.0003961
63,844.309,0.8931,0.52267,0.89647,0.9705,0.94283,0.97563,0.61102,1.29994,0.53851,1.01769,0.0003862,0.0003862,0.0003862
64,856.912,0.89061,0.52854,0.8983,0.97045,0.94089,0.98282,0.65295,1.15593,0.51281,0.97559,0.0003763,0.0003763,0.0003763
65,869.474,0.89969,0.53235,0.89993,0.97018,0.94108,0.98227,0.67467,1.06971,0.49561,0.95918,0.0003664,0.0003664,0.0003664
66,882.244,0.86828,0.51471,0.89735,0.96334,0.94549,0.97402,0.54748,1.50483,0.59422,1.07829,0.0003565,0.0003565,0.0003565
67,894.758,0.90579,0.52783,0.90155,0.97334,0.95421,0.98306,0.66256,1.15759,0.5022,0.97782,0.0003466,0.0003466,0.0003466
68,912.285,0.87211,0.50964,0.89296,0.97389,0.94978,0.98379,0.66913,1.12111,0.48761,0.96618,0.0003367,0.0003367,0.0003367
69,929.457,0.89327,0.51218,0.89556,0.9779,0.94973,0.98068,0.70047,1.05715,0.47139,0.95415,0.0003268,0.0003268,0.0003268
70,946.588,0.9039,0.51066,0.89637,0.96426,0.95513,0.98339,0.72356,0.92664,0.44995,0.9247,0.0003169,0.0003169,0.0003169
71,963.167,0.87357,0.50738,0.89813,0.96804,0.96498,0.98647,0.77082,0.81931,0.41537,0.90135,0.000307,0.000307,0.000307
72,979.348,0.8668,0.50403,0.89517,0.97388,0.94685,0.98318,0.67928,1.0981,0.48148,0.96027,0.0002971,0.0002971,0.0002971
73,995.122,0.85047,0.50036,0.89051,0.97485,0.93822,0.98161,0.66654,1.09628,0.47199,0.96395,0.0002872,0.0002872,0.0002872
74,1010.91,0.88172,0.51039,0.89801,0.96809,0.96048,0.98333,0.74986,0.83824,0.41943,0.91079,0.0002773,0.0002773,0.0002773
75,1026.86,0.87708,0.50564,0.89552,0.96923,0.95569,0.98441,0.7174,0.95562,0.44968,0.9307,0.0002674,0.0002674,0.0002674
76,1043.07,0.84616,0.49197,0.88768,0.96268,0.95475,0.98211,0.65424,1.13591,0.48153,0.97646,0.0002575,0.0002575,0.0002575
77,1059.1,0.84834,0.48895,0.89386,0.96492,0.96274,0.98424,0.6389,1.21399,0.5083,0.99212,0.0002476,0.0002476,0.0002476
78,1075.78,0.86447,0.49081,0.8928,0.96745,0.96429,0.98544,0.77647,0.79915,0.41468,0.9007,0.0002377,0.0002377,0.0002377
79,1093.94,0.85557,0.48708,0.88767,0.97061,0.94752,0.98173,0.63959,1.18577,0.49492,0.98577,0.0002278,0.0002278,0.0002278
80,1109.18,0.84152,0.48583,0.88701,0.96571,0.95938,0.97868,0.6772,1.11556,0.47531,0.96587,0.0002179,0.0002179,0.0002179
81,1123.47,0.84166,0.48547,0.89072,0.97463,0.95657,0.98187,0.76959,0.79963,0.40814,0.90121,0.000208,0.000208,0.000208
82,1139.98,0.84242,0.47485,0.88664,0.97338,0.94841,0.9782,0.63651,1.21935,0.49616,0.99551,0.0001981,0.0001981,0.0001981
83,1153.58,0.82181,0.47242,0.882,0.97276,0.961,0.98431,0.75454,0.86231,0.4177,0.90943,0.0001882,0.0001882,0.0001882
84,1166.06,0.82444,0.47398,0.88916,0.96994,0.96072,0.97855,0.69635,1.02818,0.45014,0.94645,0.0001783,0.0001783,0.0001783
85,1178.83,0.82932,0.47515,0.88743,0.97088,0.9532,0.9818,0.7656,0.82167,0.40756,0.90524,0.0001684,0.0001684,0.0001684
86,1191.69,0.8179,0.46585,0.88453,0.96898,0.94902,0.97728,0.61777,1.26714,0.50348,1.01042,0.0001585,0.0001585,0.0001585
87,1210.23,0.83288,0.47274,0.88514,0.95988,0.96651,0.98177,0.75378,0.86681,0.4164,0.91376,0.0001486,0.0001486,0.0001486
88,1227.8,0.81117,0.45992,0.88104,0.96346,0.96462,0.98235,0.71016,0.9918,0.44848,0.93843,0.0001387,0.0001387,0.0001387
89,1244.64,0.83278,0.46934,0.88725,0.96653,0.94994,0.97962,0.64533,1.19901,0.49055,0.9899,0.0001288,0.0001288,0.0001288
90,1261.79,0.82703,0.46978,0.88794,0.96208,0.96201,0.98012,0.6899,1.03359,0.45826,0.9459,0.0001189,0.0001189,0.0001189
91,1285.33,0.80099,0.42192,0.8902,0.96493,0.9501,0.97634,0.62328,1.26074,0.50325,1.00775,0.000109,0.000109,0.000109
92,1302.76,0.78382,0.41011,0.88884,0.96857,0.95105,0.97832,0.74048,0.8981,0.42763,0.91872,9.91e-05,9.91e-05,9.91e-05
93,1319.95,0.76938,0.40599,0.88484,0.97021,0.95578,0.97817,0.70688,1.00825,0.44133,0.93934,8.92e-05,8.92e-05,8.92e-05
94,1336.48,0.77099,0.40426,0.8841,0.97492,0.95356,0.98229,0.73185,0.94072,0.42892,0.92732,7.93e-05,7.93e-05,7.93e-05
95,1348.66,0.76541,0.39865,0.88415,0.97437,0.94703,0.97904,0.73413,0.92078,0.42382,0.92426,6.94e-05,6.94e-05,6.94e-05
96,1361.01,0.75869,0.39731,0.88364,0.97471,0.95244,0.97934,0.73294,0.93837,0.42408,0.92358,5.95e-05,5.95e-05,5.95e-05
97,1373.39,0.75834,0.39847,0.88194,0.96006,0.961,0.97692,0.66252,1.15703,0.47096,0.97047,4.96e-05,4.96e-05,4.96e-05
98,1385.71,0.74877,0.38948,0.87877,0.96193,0.96241,0.9778,0.71722,0.98135,0.43099,0.93239,3.97e-05,3.97e-05,3.97e-05
99,1398.1,0.75512,0.39253,0.88247,0.96452,0.96193,0.9795,0.72871,0.94728,0.42207,0.92576,2.98e-05,2.98e-05,2.98e-05
100,1410.61,0.7374,0.38934,0.879,0.95929,0.96326,0.97916,0.71042,1.00476,0.43341,0.93841,1.99e-05,1.99e-05,1.99e-05
